time,open,high,low,close,Volume,Volume MA
2019-03-11T00:00:00Z,3915.99,3936.98,3830,3871.61,38066.885705,31168.894075100026
2019-03-12T00:00:00Z,3871.61,3905.2,3826.06,3882.73,26921.008622,30704.687463700026
2019-03-13T00:00:00Z,3882.69,3893.56,3840,3866,24461.008757,30372.543665150024
2019-03-14T00:00:00Z,3866,3920,3810.43,3877.12,27048.74853,30527.822904150024
2019-03-15T00:00:00Z,3877.12,3939.22,3872.2,3923.76,21740.061498,29931.928834900027
2019-03-16T00:00:00Z,3924.46,4056.98,3921.98,4005.98,28568.376124,28249.138296600024
2019-03-17T00:00:00Z,4005.98,4012,3950.01,3981.14,18814.255577,27284.70276320002
2019-03-18T00:00:00Z,3981.85,4037,3953.33,3987.81,22454.47801,26965.489261900024
2019-03-19T00:00:00Z,3987.83,4031,3970,4015.53,19893.741815,26385.126579350024
2019-03-20T00:00:00Z,4017.48,4050,3980.5,4043.04,23432.300255,25928.643539900026
2019-03-21T00:00:00Z,4043.04,4069.32,3880.01,3980.64,35997.682119,26569.79903735002
2019-03-22T00:00:00Z,3980.85,4008,3968.25,3986.93,20022.606318,26598.637435500023
2019-03-23T00:00:00Z,3987.89,4018.83,3978.01,4006.01,17302.604318,26627.859380900023
2019-03-24T00:00:00Z,4006.01,4006.02,3950,3992.18,17179.850648,25749.709830300024
2019-03-25T00:00:00Z,3991.35,3999.3,3888.71,3936.12,33192.890217,25761.227533050023
2019-03-26T00:00:00Z,3935.47,3958.98,3894,3948.55,29349.537627,25989.948472900025
2019-03-27T00:00:00Z,3948.77,4048,3936.15,4038.05,32364.555852,26285.413382450024
2019-03-28T00:00:00Z,4039.58,4039.7,4002,4027.81,20089.293875,25553.359746600025
2019-03-29T00:00:00Z,4028.22,4123.71,4024.03,4103.25,30084.217444,25508.583236150025
2019-03-30T00:00:00Z,4104.24,4140,4052,4106.97,19509.292601,25324.669795600024
2019-03-31T00:00:00Z,4106.99,4116.12,4082.57,4103.95,13525.087433,24097.579882000024
2019-04-01T00:00:00Z,4102.44,4158.7,4067,4144.56,25507.067641,24026.88283295002
2019-04-02T00:00:00Z,4144.54,4897.99,4140.54,4857.29,105383.639263,28073.014358250024
2019-04-03T00:00:00Z,4857.19,5275.01,4753.5,4932.6,109890.125743,32215.08321890002
2019-04-04T00:00:00Z,4932.59,5039.08,4777,4898.66,61054.254168,34180.792852400016
2019-04-05T00:00:00Z,4898.64,5028.22,4880.62,5004.95,39768.552806,34740.80168650002
2019-04-06T00:00:00Z,5004.96,5205,4928.59,5043.89,41770.842313,35888.63102330002
2019-04-07T00:00:00Z,5042.07,5234,5026,5170.27,37615.486804,36646.68146300002
2019-04-08T00:00:00Z,5170.27,5305,5039,5236.9,50178.430782,38160.91591135002
2019-04-09T00:00:00Z,5238.38,5238.4,5076.68,5150,34067.012311,38692.65151415002
2019-04-10T00:00:00Z,5150,5422,5135,5308.25,40073.620471,38896.44843175002
2019-04-11T00:00:00Z,5307.86,5332.67,4927,5017.37,54696.600686,40630.14815015002
2019-04-12T00:00:00Z,5017.37,5080.58,4861.22,5048.01,33276.678614,41428.85186495002
2019-04-13T00:00:00Z,5047,5099,5004,5045.22,17292.456802,41434.482172650016
2019-04-14T00:00:00Z,5047.45,5152.99,5000,5131.3,18281.607739,40688.91804875001
2019-04-15T00:00:00Z,5131.28,5167.38,4950,5024.95,29057.191581,40674.30074645001
2019-04-16T00:00:00Z,5024.95,5197.72,5003.94,5173.72,24242.229493,40268.18442850001
2019-04-17T00:00:00Z,5173.72,5230.4,5146.8,5202.82,23307.536134,40429.09654145002
2019-04-18T00:00:00Z,5202.41,5287,5198.8,5258.44,22619.239001,40055.84761930002
2019-04-19T00:00:00Z,5258.44,5320,5175,5258.68,24611.236323,40310.94480540002
2019-04-20T00:00:00Z,5258.68,5333.42,5230.1,5291.73,19168.908274,40593.135847450016
2019-04-21T00:00:00Z,5292.91,5314.35,5165,5256.14,25549.570939,40595.26101235002
2019-04-22T00:00:00Z,5257.41,5400,5208.35,5357.14,29563.852309,36804.27166465002
2019-04-23T00:00:00Z,5357.14,5600,5332.41,5493.31,41262.103917,33372.87057335002
2019-04-24T00:00:00Z,5490.91,5582.2,5333.35,5415,48224.152413,32731.36548560002
2019-04-25T00:00:00Z,5415,5491.84,5102,5219.9,49636.089948,33224.742342700025
2019-04-26T00:00:00Z,5220.47,5510,5161.62,5314.1,48912.294513,33581.81495270003
2019-04-27T00:00:00Z,5315,5342.5,5257.67,5295.69,15422.896935,32472.185459250024
2019-04-28T00:00:00Z,5295.69,5340,5259.48,5307.52,14371.433869,30681.835613600026
2019-04-29T00:00:00Z,5309.81,5332,5178.8,5238.14,19918.135079,29974.391752000025
2019-04-30T00:00:00Z,5238.14,5339.98,5192.15,5320.81,22238.06823,29082.614139950027
2019-05-01T00:00:00Z,5321.94,5402,5316.2,5383.2,17217.473216,27208.65776645003
2019-05-02T00:00:00Z,5383.2,5538,5370,5492.87,22795.787835,26684.613227500027
2019-05-03T00:00:00Z,5494.81,5844,5477.57,5772.69,46297.172849,28134.84902985003
2019-05-04T00:00:00Z,5770.62,5900,5587.45,5829.45,39682.408991,29204.88909245003
2019-05-05T00:00:00Z,5829.83,5839.9,5696,5775.62,23822.543775,28943.15670215003
